"CertificateOfOrigin","EUCitizen","Perishable","Fragile","Volume","PreDeclared","MultiplePackage","Category","OnlineDeclaration","ExporterValidation","SecuredDelivery","LithiumBatteries","ExpressDelivery","EntryPoint","Origin","PaperlessBilling","PaymentMethod","Weight","Price","Inspection","packageID"
"No",0,"No","No",41,"Yes","Yes","Electronics","No","No","No","No","No","Brussels","China","No","Bank transfer (automatic)",83.85,3532.25,"No","9812-GHVRI"
"No",1,"Yes","Yes",67,"Yes","Yes","Electronics","No","Yes","Yes","No","Yes","Brussels","US","Yes","Electronic check",104.9,6891.45,"No","5553-AOINX"
"Yes",0,"No","No",22,"Yes","Yes","Electronics","No","No","No","No","No","Antwerp","China","No","Mailed check",75.3,1570.7,"No","1228-ZLNBX"
"Yes",0,"No","No",9,"Yes","No","Clothing","No","Yes","No","Yes","Yes","Antwerp","China","Yes","Electronic check",66.65,520.95,"No","4226-KKDON"
"No",0,"Yes","Yes",73,"Yes","No","Electronics","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","Yes","Credit card (automatic)",109.5,7854.9,"No","3831-YCPUO"
"No",0,"No","No",49,"Yes","Yes","Clothing","No","Yes","Yes","Yes","Yes","Antwerp","US","Yes","Bank transfer (automatic)",73.85,3581.4,"No","7445-WMRBW"
"Yes",0,"No","No",70,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Bank transfer (automatic)",19.3,1447.9,"No","3308-DGHKL"
"Yes",0,"No","No",73,"Yes","Yes","Electronics","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","Yes","Electronic check",118.2,8547.15,"No","9924-JPRMC"
"No",0,"No","No",15,"Yes","No","Clothing","No","Yes","No","No","No","Antwerp","US","No","Credit card (automatic)",51.45,727.85,"No","0080-EMYVY"
"Yes",0,"No","No",7,"Yes","No","Clothing","No","Yes","No","No","Yes","Antwerp","China","No","Electronic check",59.45,357.6,"No","6218-KNUBD"
"No",0,"Yes","Yes",9,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Bank transfer (automatic)",19.5,159.35,"No","7337-CINUD"
"No",0,"No","No",18,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Mailed check",19.55,280.85,"No","7609-NRNCA"
"Yes",0,"No","No",66,"Yes","Yes","Electronics","Yes","No","No","Yes","No","Brussels","US","No","Electronic check",93.55,6069.25,"No","0623-EJQEG"
"No",0,"Yes","Yes",58,"Yes","No","Clothing","Yes","No","Yes","Yes","No","Antwerp","US","Yes","Mailed check",59.3,3274.35,"No","7153-CHRBV"
"Yes",0,"Yes","No",14,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","China","Yes","Credit card (automatic)",102.25,1359,"Yes","0871-URUWO"
"Yes",1,"No","No",20,"Yes","No","Electronics","No","No","Yes","No","Yes","Brussels","China","Yes","Credit card (automatic)",95.9,1777.9,"Yes","9190-MFJLN"
"No",0,"Yes","No",57,"Yes","Yes","Electronics","Yes","Yes","Yes","No","Yes","Brussels","US","No","Bank transfer (automatic)",109.8,6109.65,"No","6198-PNNSZ"
"No",0,"Yes","No",15,"Yes","No","Electronics","No","No","No","No","No","Brussels","China","Yes","Electronic check",78.1,1122.4,"No","3317-VLGQT"
"Yes",0,"Yes","No",53,"No",NA,"Clothing","Yes","No","No","No","No","Brussels","China","Yes","Electronic check",39.9,2020.9,"No","4132-POCZS"
"No",0,"No","No",59,"Yes","No","Clothing","Yes","Yes","Yes","Yes","No","Antwerp","Africa","Yes","Credit card (automatic)",64.9,3795.45,"No","5614-DNZCE"
"No",1,"No","No",48,"Yes","Yes","Electronics","No","Yes","No","Yes","Yes","Antwerp","China","Yes","Electronic check",95.05,4504.55,"Yes","1095-JUDTC"
"No",0,"No","No",68,"No",NA,"Clothing","No","No","Yes","Yes","Yes","Brussels","China","Yes","Credit card (automatic)",53.4,3579.15,"No","3896-RCYYE"
"Yes",0,"No","No",3,"No",NA,"Clothing","No","No","No","No","No","Antwerp","China","Yes","Credit card (automatic)",24.9,49.7,"No","9638-JIQYA"
"Yes",1,"No","No",7,"Yes","No","Clothing","No","No","No","No","No","Antwerp","China","No","Credit card (automatic)",44.7,276.5,"No","3258-SANFR"
"Yes",0,"Yes","Yes",72,"Yes","Yes","Electronics","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","Yes","Bank transfer (automatic)",114,8175.9,"No","3726-TBHQT"
"No",0,"Yes","Yes",47,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Bank transfer (automatic)",20.25,890.35,"No","3190-ITQXP"
"No",0,"No","No",6,"Yes","No","Clothing","Yes","No","No","Yes","No","Antwerp","China","No","Credit card (automatic)",53.85,259.8,"Yes","0870-VEMYL"
"Yes",1,"Yes","No",68,"Yes","Yes","Electronics","Yes","Yes","No","No","No","Antwerp","China","No","Bank transfer (automatic)",83.85,5588.8,"No","4833-QTJNO"
"Yes",0,"No","Yes",4,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Bank transfer (automatic)",20.2,50.6,"No","3039-MJSLN"
"No",0,"No","No",4,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",19.95,58,"No","0178-CIIKR"
"Yes",1,"Yes","No",53,"Yes","Yes","Electronics","Yes","No","Yes","No","Yes","Brussels","China","Yes","Electronic check",104.2,5568.35,"Yes","5385-SUIRI"
"No",0,"Yes","No",43,"Yes","Yes","Clothing","No","No","No","No","No","Antwerp","China","Yes","Electronic check",50.25,2203.65,"Yes","3982-XWFZQ"
"Yes",0,"Yes","Yes",51,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","Yes","Mailed check",20.35,938.95,"No","5774-QPLTF"
"Yes",1,"Yes","No",24,"Yes","No","Electronics","Yes","Yes","No","No","No","Brussels","China","Yes","Electronic check",90,2024.1,"No","2322-VCZHZ"
"No",0,"Yes","Yes",68,"No",NA,"Clothing","Yes","Yes","Yes","Yes","Yes","Antwerp","Africa","No","Credit card (automatic)",54.2,3623.95,"No","5010-IPEAQ"
"No",0,"No","No",26,"Yes","No","Electronics","No","Yes","Yes","No","Yes","Brussels","China","Yes","Electronic check",99.5,2369.05,"Yes","4009-ALQFH"
"No",1,"Yes","No",40,"Yes","No","Electronics","Yes","Yes","No","No","Yes","Brussels","US","No","Mailed check",99.1,3877.95,"No","6383-ZTSIW"
"No",0,"No","No",70,"Yes","Yes","Clothing","Yes","Yes","No","Yes","No","Antwerp","Africa","Yes","Mailed check",66.9,4577.9,"No","8990-YOZLV"
"No",0,"No","No",2,"No",NA,"Clothing","No","No","No","No","No","Antwerp","US","No","Mailed check",25.85,25.85,"No","3069-SSVSN"
"Yes",0,"No","No",33,"Yes","No","Electronics","No","No","No","No","Yes","Brussels","China","No","Electronic check",91.05,2871.5,"No","5222-IMUKT"
"No",0,"No","No",10,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","No","Electronic check",71,672.55,"Yes","3627-FCRDW"
"No",0,"No","No",17,"Yes","No","Electronics","No","Yes","Yes","No","No","Brussels","China","Yes","Credit card (automatic)",93.2,1573.7,"Yes","7562-GSUHK"
"Yes",0,"Yes","Yes",61,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Bank transfer (automatic)",20.95,1270.55,"No","6685-XSHHU"
"No",0,"Yes","Yes",73,"Yes","Yes","Electronics","No","Yes","Yes","Yes","Yes","Brussels","Africa","Yes","Bank transfer (automatic)",109.2,7711.45,"No","8901-UPRHR"
"Yes",0,"Yes","No",6,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",19.35,126.05,"Yes","4903-UYAVB"
"No",1,"No","No",27,"Yes","No","Electronics","Yes","No","No","No","Yes","Antwerp","China","Yes","Credit card (automatic)",85.8,2193.65,"No","0118-JPNOY"
"Yes",0,"No","No",4,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",19.85,64.55,"Yes","6776-TLWOI"
"Yes",0,"No","No",3,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","Yes","Electronic check",19.65,31.2,"No","3845-FXCYS"
"No",0,"No","Yes",3,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Bank transfer (automatic)",20.5,38.25,"No","5857-XRECV"
"No",0,"No","No",37,"Yes","Yes","Clothing","Yes","No","Yes","Yes","Yes","Brussels","US","Yes","Credit card (automatic)",89.65,3348.1,"No","0725-CXOTM"
"Yes",0,"No","No",8,"Yes","No","Electronics","Yes","No","No","No","No","Antwerp","China","No","Mailed check",74.35,533.6,"No","4343-EJVQB"
"No",1,"Yes","No",61,"No",NA,"Clothing","No","Yes","No","No","Yes","Brussels","Africa","Yes","Credit card (automatic)",49.45,2907.55,"No","9000-PLFUZ"
"No",0,"Yes","No",20,"Yes","Yes","Electronics","No","Yes","No","No","No","Brussels","China","Yes","Electronic check",89.1,1620.8,"No","3427-GGZZI"
"Yes",1,"Yes","No",46,"Yes","Yes","Clothing","Yes","No","Yes","Yes","No","Brussels","Africa","No","Credit card (automatic)",75.15,3480.35,"No","7779-ORAEL"
"Yes",1,"No","No",5,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",70.65,293.85,"No","0644-OQMDK"
"No",0,"Yes","Yes",32,"Yes","Yes","Electronics","No","No","Yes","Yes","Yes","Brussels","China","Yes","Electronic check",104.2,3243.45,"Yes","4077-CROMM"
"Yes",0,"Yes","Yes",48,"Yes","No","Electronics","Yes","No","Yes","No","No","Brussels","China","No","Electronic check",90.05,4137.2,"No","3154-CFSZG"
"Yes",0,"No","No",2,"Yes","No","Electronics","No","No","No","No","No","Brussels","China","Yes","Electronic check",79.25,79.25,"Yes","2868-MZAGQ"
"No",0,"No","No",2,"Yes","No","Clothing","No","No","No","No","No","Antwerp","China","Yes","Bank transfer (automatic)",44.9,44.9,"Yes","4847-QNOKA"
"No",0,"No","No",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Credit card (automatic)",19.4,19.4,"No","2220-IAHLS"
"No",1,"Yes","Yes",60,"Yes","Yes","Electronics","No","No","Yes","No","No","Brussels","China","Yes","Credit card (automatic)",88.75,5348.65,"No","1658-XUHBX"
"Yes",0,"Yes","No",11,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",70.1,659.65,"Yes","6379-RXJRQ"
"Yes",1,"No","No",36,"Yes","Yes","Electronics","Yes","No","No","No","No","Brussels","China","No","Credit card (automatic)",91,3180.5,"No","2378-HTWFW"
"Yes",0,"No","No",5,"No",NA,"Clothing","No","No","Yes","No","No","Antwerp","China","Yes","Electronic check",29.65,118.5,"Yes","8650-RHRKE"
"Yes",0,"Yes","Yes",33,"Yes","No","Electronics","Yes","Yes","No","No","No","Brussels","US","Yes","Electronic check",90.8,3023.85,"No","4377-VDHYI"
"Yes",0,"No","No",44,"Yes","Yes","Electronics","No","Yes","No","No","No","Antwerp","China","Yes","Electronic check",77.85,3365.85,"Yes","0475-RIJEP"
"Yes",0,"No","No",5,"Yes","No","Clothing","No","No","No","No","No","Brussels","China","No","Electronic check",54.3,195.3,"Yes","1260-TTRXI"
"No",1,"Yes","No",55,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Mailed check",18.95,1031.1,"No","3719-TDVQB"
"No",1,"No","No",12,"Yes","Yes","Electronics","No","No","No","No","Yes","Brussels","China","Yes","Bank transfer (automatic)",95.15,997.65,"Yes","6328-ZPBGN"
"No",1,"No","No",67,"Yes","Yes","Electronics","Yes","No","No","No","Yes","Brussels","Africa","Yes","Bank transfer (automatic)",102.4,6471.85,"No","0201-MIBOL"
"Yes",0,"Yes","Yes",62,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","US","Yes","Electronic check",99.9,6241.35,"No","4937-QPZPO"
"Yes",0,"Yes","Yes",73,"Yes","Yes","Clothing","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","No","Credit card (automatic)",88.7,6501.35,"No","2925-VDZHY"
"Yes",0,"Yes","Yes",45,"No",NA,"Clothing","No","No","Yes","Yes","Yes","Brussels","US","Yes","Electronic check",54.3,2317.1,"No","6981-TDRFT"
"Yes",0,"No","No",42,"Yes","Yes","Clothing","No","No","Yes","No","No","Antwerp","China","Yes","Bank transfer (automatic)",55.7,2237.55,"No","3413-CSSTH"
"Yes",0,"Yes","No",51,"Yes","Yes","Electronics","Yes","No","Yes","No","Yes","Brussels","US","Yes","Electronic check",103.95,5231.3,"No","8033-VCZGH"
"Yes",0,"Yes","No",48,"Yes","Yes","Electronics","Yes","No","Yes","Yes","Yes","Brussels","US","Yes","Credit card (automatic)",110.85,5275.8,"Yes","4789-KWMXN"
"Yes",0,"Yes","Yes",9,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Mailed check",20.15,165.5,"No","0224-NIJLP"
"Yes",0,"No","No",19,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",20.05,358.5,"No","7542-CYDDM"
"Yes",0,"Yes","Yes",73,"Yes","Yes","Clothing","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","Yes","Credit card (automatic)",91.95,6614.9,"No","4718-WXBGI"
"Yes",0,"No","No",2,"Yes","No","Electronics","No","No","No","No","No","Brussels","China","No","Electronic check",80.5,80.5,"Yes","2867-UIMSS"
"No",1,"No","No",43,"Yes","Yes","Clothing","No","No","Yes","No","No","Antwerp","China","No","Electronic check",55.65,2421.75,"No","8495-PRWFH"
"No",1,"No","No",19,"Yes","No","Electronics","No","Yes","No","No","No","Antwerp","China","Yes","Electronic check",74.7,1294.6,"No","0439-IFYUN"
"No",0,"No","Yes",14,"Yes","Yes","Electronics","No","Yes","Yes","No","Yes","Brussels","US","Yes","Credit card (automatic)",104.15,1299.1,"No","5716-LIBJC"
"No",0,"Yes","Yes",69,"Yes","Yes","Electronics","No","Yes","No","Yes","No","Antwerp","US","Yes","Bank transfer (automatic)",83.65,5733.4,"No","2868-LLSKM"
"Yes",0,"No","No",5,"Yes","Yes","Electronics","No","No","No","No","No","Antwerp","China","Yes","Bank transfer (automatic)",72.2,305.55,"Yes","8111-RKSPX"
"Yes",0,"No","No",70,"Yes","Yes","Electronics","Yes","Yes","Yes","No","Yes","Brussels","Africa","Yes","Credit card (automatic)",110.05,7430.75,"No","2988-QRAJY"
"Yes",0,"No","No",18,"Yes","No","Clothing","No","No","No","Yes","No","Antwerp","China","No","Mailed check",51.5,900.5,"Yes","1585-MQSSU"
"Yes",0,"Yes","Yes",26,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Credit card (automatic)",25.5,630.6,"No","0071-NDAFP"
"Yes",1,"No","No",44,"Yes","No","Electronics","No","No","No","No","Yes","Brussels","China","Yes","Mailed check",89.55,3856.75,"Yes","2856-NNASM"
"No",0,"Yes","Yes",60,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Credit card (automatic)",19.5,1222.65,"No","7328-ZJAJO"
"No",1,"No","No",6,"Yes","No","Electronics","Yes","Yes","No","No","No","Antwerp","China","No","Electronic check",80.7,374.8,"No","6458-CYIDZ"
"Yes",0,"Yes","Yes",22,"Yes","Yes","Clothing","Yes","Yes","No","Yes","Yes","Antwerp","US","No","Mailed check",77.5,1625,"Yes","8559-CIZFV"
"No",0,"Yes","Yes",70,"Yes","Yes","Electronics","Yes","Yes","Yes","Yes","Yes","Antwerp","US","Yes","Credit card (automatic)",105.1,7234.8,"No","1090-PYKCI"
"Yes",0,"No","No",14,"No",NA,"Clothing","No","No","No","No","No","Antwerp","China","Yes","Bank transfer (automatic)",25.15,331.85,"No","3058-WQDRE"
"Yes",0,"Yes","No",43,"Yes","Yes","Electronics","No","Yes","Yes","No","Yes","Antwerp","China","Yes","Bank transfer (automatic)",95.25,3959.35,"Yes","7547-EKNFS"
"Yes",0,"Yes","No",53,"Yes","Yes","Electronics","No","Yes","No","Yes","No","Brussels","China","Yes","Credit card (automatic)",95.65,5088.4,"No","2279-AXJJK"
"Yes",1,"No","No",47,"Yes","No","Electronics","Yes","No","No","No","No","Brussels","China","No","Electronic check",85,3969.4,"Yes","6769-DYBQN"
"Yes",0,"Yes","No",62,"Yes","Yes","Clothing","Yes","Yes","Yes","Yes","No","Brussels","Africa","Yes","Bank transfer (automatic)",80.8,4860.85,"No","0909-SELIE"
"Yes",0,"No","No",30,"No",NA,"Clothing","No","No","No","No","No","Antwerp","US","Yes","Mailed check",24.85,788.05,"No","3417-TSCIC"
"No",0,"No","Yes",26,"Yes","No","Clothing","No","Yes","No","Yes","No","Antwerp","US","Yes","Credit card (automatic)",54.75,1266.35,"No","1042-HFUCW"
"No",0,"Yes","Yes",6,"Yes","No","Electronics","No","No","No","Yes","Yes","Antwerp","China","Yes","Electronic check",85.75,470.95,"Yes","4439-JMPMT"
"Yes",0,"No","No",16,"No",NA,"Clothing","No","No","Yes","No","Yes","Brussels","US","No","Electronic check",50.75,688.2,"No","6537-OTKMY"
"No",0,"Yes","Yes",20,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Mailed check",20.15,387.7,"No","8999-EXMNO"
"Yes",0,"No","No",45,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Mailed check",20.05,845.25,"No","6725-TPKJO"
"No",1,"No","No",7,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Brussels","China","Yes","Electronic check",98.25,560.6,"Yes","2446-BEGGB"
"Yes",0,"Yes","Yes",59,"Yes","Yes","Clothing","Yes","Yes","Yes","Yes","No","Antwerp","Africa","No","Credit card (automatic)",71.6,4230.25,"No","7162-WPHPM"
"Yes",0,"Yes","Yes",63,"Yes","No","Electronics","Yes","Yes","No","No","No","Antwerp","US","Yes","Credit card (automatic)",81.45,4983.05,"No","1599-MMYRQ"
"No",0,"Yes","Yes",71,"No",NA,"Clothing","No","Yes","Yes","Yes","Yes","Brussels","US","Yes","Bank transfer (automatic)",58.4,4113.15,"No","8821-KVZKQ"
"No",1,"No","No",2,"No",NA,"Clothing","No","No","No","No","No","Antwerp","China","Yes","Mailed check",25.7,25.7,"Yes","1496-GGSUK"
"Yes",0,"Yes","Yes",11,"No",NA,"Clothing","Yes","Yes","Yes","Yes","No","Brussels","Africa","No","Credit card (automatic)",53.7,521,"No","6434-TTGJP"
"Yes",0,"No","No",27,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","Yes","Bank transfer (automatic)",19.6,471.85,"No","0042-JVWOJ"
"Yes",0,"No","No",67,"Yes","Yes","Electronics","No","Yes","No","No","No","Brussels","China","No","Credit card (automatic)",89.4,5976.9,"No","0130-SXOUN"
"No",0,"Yes","Yes",8,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",69,506.9,"Yes","2575-GFSOE"
"Yes",0,"Yes","Yes",52,"Yes","Yes","Electronics","No","Yes","No","Yes","No","Antwerp","US","No","Bank transfer (automatic)",84.2,4299.75,"No","2330-PQGDQ"
"Yes",0,"Yes","Yes",73,"Yes","Yes","Electronics","Yes","Yes","Yes","Yes","Yes","Antwerp","Africa","Yes","Credit card (automatic)",106.1,7548.6,"No","1452-UZOSF"
"Yes",0,"No","No",66,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Mailed check",25.75,1654.75,"No","2097-YVPKN"
"Yes",0,"No","No",3,"Yes","No","Clothing","No","No","No","No","No","Antwerp","China","No","Bank transfer (automatic)",46.05,80.35,"Yes","2842-JTCCU"
"Yes",0,"No","Yes",71,"Yes","Yes","Clothing","Yes","Yes","No","Yes","No","Antwerp","US","No","Bank transfer (automatic)",64.95,4551.5,"No","8597-CTXVJ"
"Yes",0,"Yes","No",73,"Yes","Yes","Clothing","No","Yes","Yes","Yes","Yes","Brussels","Africa","Yes","Credit card (automatic)",85.45,6227.5,"No","6631-HMANX"
"No",0,"Yes","Yes",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",20.05,20.05,"No","9962-BFPDU"
"No",1,"Yes","No",2,"Yes","No","Electronics","No","Yes","No","No","No","Antwerp","China","Yes","Mailed check",76.4,76.4,"Yes","3296-SILRA"
"No",0,"No","No",6,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","China","Yes","Electronic check",100.5,514,"Yes","9681-OXGVC"
"Yes",0,"No","No",4,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",20.7,57.5,"No","6394-HHHZM"
"Yes",0,"No","No",59,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Credit card (automatic)",25.3,1474.35,"No","5995-LFTLE"
"Yes",1,"Yes","Yes",23,"No",NA,"Clothing","Yes","No","No","No","No","Brussels","China","No","Mailed check",40.05,880.2,"Yes","5180-UCIIQ"
"Yes",1,"Yes","No",34,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Brussels","China","Yes","Bank transfer (automatic)",100.6,3270.25,"No","1932-UEDCX"
"Yes",0,"No","No",2,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","No","Electronic check",69.95,69.95,"Yes","7153-OANIO"
"Yes",1,"Yes","No",55,"Yes","Yes","Electronics","No","No","No","No","No","Antwerp","China","No","Bank transfer (automatic)",74,3919.15,"No","5188-HGMLP"
"Yes",0,"Yes","No",73,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Brussels","Africa","Yes","Electronic check",99.4,7285.7,"No","0665-XHDJU"
"Yes",0,"No","Yes",2,"Yes","Yes","Electronics","No","No","No","No","Yes","Brussels","China","Yes","Electronic check",93.3,93.3,"Yes","6521-YYTYI"
"Yes",0,"No","No",4,"Yes","No","Clothing","No","No","Yes","No","No","Antwerp","China","Yes","Electronic check",49.15,169.05,"Yes","8878-HMWBV"
"No",0,"Yes","Yes",73,"Yes","Yes","Electronics","Yes","Yes","Yes","Yes","No","Brussels","Africa","No","Credit card (automatic)",107.45,7658.3,"No","8265-HKSOW"
"No",0,"Yes","Yes",73,"Yes","Yes","Clothing","Yes","Yes","Yes","No","Yes","Brussels","Africa","Yes","Credit card (automatic)",83.6,5959.3,"No","3544-FBCAS"
"Yes",1,"Yes","No",55,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","China","Yes","Credit card (automatic)",99.05,5295.7,"No","5331-RGMTT"
"No",0,"Yes","No",60,"Yes","Yes","Clothing","No","Yes","No","Yes","Yes","Brussels","US","Yes","Electronic check",80.1,4693.2,"No","4759-PXTAN"
"Yes",0,"No","No",55,"Yes","No","Clothing","Yes","Yes","No","No","Yes","Antwerp","Africa","Yes","Bank transfer (automatic)",65.3,3512.9,"No","7054-DMVAS"
"Yes",0,"No","No",61,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Antwerp","Africa","Yes","Electronic check",89.55,5231.2,"No","3428-MMGUB"
"No",0,"Yes","No",61,"No",NA,"Clothing","No","Yes","Yes","Yes","Yes","Brussels","Africa","No","Credit card (automatic)",60.8,3603.45,"No","6549-BTYPG"
"Yes",0,"No","No",4,"Yes","Yes","Electronics","No","No","No","No","No","Antwerp","China","No","Electronic check",74.5,217.45,"No","7823-JSOAG"
"No",0,"Yes","No",70,"Yes","Yes","Electronics","Yes","No","No","No","Yes","Brussels","Africa","No","Bank transfer (automatic)",99.15,6875.35,"No","3705-RHRFR"
"No",0,"Yes","Yes",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Electronic check",19.25,19.25,"No","9374-YOLBJ"
"Yes",0,"Yes","Yes",51,"No",NA,"Clothing","Yes","No","No","No","Yes","Antwerp","China","Yes","Credit card (automatic)",39.45,2021.35,"No","9074-KGVOX"
"No",0,"No","No",57,"No",NA,"Clothing","No","No","No","No","Yes","Brussels","China","Yes","Credit card (automatic)",44.85,2564.95,"No","6128-DAFVY"
"No",0,"Yes","No",61,"Yes","No","Electronics","Yes","No","No","Yes","Yes","Brussels","Africa","Yes","Electronic check",97.2,5611.75,"No","9933-QRGTX"
"Yes",1,"Yes","No",70,"Yes","Yes","Electronics","Yes","No","Yes","Yes","Yes","Brussels","US","Yes","Mailed check",110.55,7610.1,"No","4476-OSWTN"
"No",0,"No","No",2,"No",NA,"Clothing","No","No","No","No","No","Brussels","China","No","Mailed check",35.05,35.05,"Yes","3751-KTZEL"
"No",1,"No","No",2,"Yes","No","Electronics","No","Yes","No","No","No","Antwerp","China","Yes","Electronic check",73,73,"Yes","1977-STDKI"
"No",0,"Yes","No",4,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","Yes","Mailed check",19.9,45.75,"No","5066-GFJMM"
"Yes",0,"Yes","Yes",61,"Yes","No","Clothing","No","Yes","No","Yes","Yes","Brussels","Africa","No","Bank transfer (automatic)",76.95,4543.95,"No","2661-GKBTK"
"No",0,"No","No",14,"No",NA,"Clothing","No","No","Yes","Yes","No","Antwerp","Africa","No","Mailed check",35.4,450.4,"No","0458-HEUZG"
"Yes",0,"Yes","Yes",63,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Bank transfer (automatic)",20.45,1297.35,"No","7268-WNTCP"
"No",0,"No","No",46,"Yes","Yes","Electronics","Yes","Yes","No","No","No","Brussels","US","No","Bank transfer (automatic)",96.75,4442.75,"No","0824-VWDPO"
"No",0,"No","No",26,"No",NA,"Clothing","No","No","Yes","Yes","Yes","Brussels","US","No","Electronic check",54.2,1423.15,"No","8409-WQJUX"
"Yes",0,"No","No",45,"Yes","No","Electronics","No","No","Yes","Yes","Yes","Brussels","Africa","No","Bank transfer (automatic)",100.1,4378.35,"No","2578-JQPHZ"
"No",0,"No","No",3,"Yes","No","Clothing","No","No","No","No","No","Antwerp","China","Yes","Mailed check",45.25,74.2,"No","3278-FSIXX"
"Yes",1,"No","No",34,"Yes","Yes","Electronics","No","Yes","Yes","No","No","Antwerp","China","Yes","Credit card (automatic)",83.85,2716.3,"Yes","5813-UECBU"
"No",0,"No","No",2,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",70.1,70.1,"Yes","0328-GRPMV"
"No",0,"No","No",23,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Bank transfer (automatic)",20.85,450.65,"No","9746-UGFAC"
"No",0,"No","No",36,"No",NA,"Clothing","No","No","Yes","Yes","No","Antwerp","China","Yes","Mailed check",33.45,1175.85,"No","2946-KIQSP"
"No",0,"Yes","Yes",30,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Mailed check",20.2,558.8,"No","0625-AFOHS"
"Yes",1,"Yes","No",28,"Yes","Yes","Electronics","Yes","No","Yes","No","No","Antwerp","US","Yes","Electronic check",85.9,2220.1,"No","6726-WEXXK"
"Yes",0,"No","Yes",55,"Yes","No","Clothing","No","Yes","Yes","Yes","No","Antwerp","US","Yes","Electronic check",61,3283.05,"No","4636-OLWOE"
"No",1,"No","No",3,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",70.65,142.35,"Yes","4342-HENTK"
"Yes",0,"No","No",58,"Yes","Yes","Electronics","No","No","No","No","Yes","Antwerp","US","Yes","Electronic check",86.9,4939.25,"No","4685-ERGHK"
"Yes",0,"No","No",63,"Yes","Yes","Clothing","Yes","Yes","Yes","Yes","No","Antwerp","Africa","No","Bank transfer (automatic)",69.4,4237.5,"No","0885-HMGPY"
"No",0,"Yes","Yes",16,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Credit card (automatic)",20.35,335.95,"No","5003-OKNNK"
"Yes",0,"No","No",3,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",20.35,33.2,"Yes","4195-SMMNX"
